metric_id,timestamp,indicator_name,value,unit,source_url,source_type,extraction_method,confidence_score,verification_status
AGR-GRI305-1-2025Q4,2025-12-31T00:00:00Z,Direct (Scope 1) GHG emissions (GRI 305-1 / ESRS E1-6),102063.7,tCO2e,https://reports.example.org/gri/2025/agr,self_reported,manual_entry,0.8,pending_review
AGR-GRI305-2-2025Q4,2025-12-31T00:00:00Z,"Energy indirect (Scope 2) GHG emissions, location-based (GRI 305-2 / IFRS S2)",26021.5,tCO2e,https://reports.example.org/gri/2025/agr,self_reported,manual_entry,0.94,verified
AGR-ESRS-S1-6-2025Q4,2025-12-31T00:00:00Z,Own workforce headcount (ESRS S1-6),250325,count,https://filings.example.org/esrs/2025/agr,regulatory_filing,ocr_extraction,0.86,verified
AGR-GRI401-1-2025Q4,2025-12-31T00:00:00Z,Employee turnover rate (GRI 401-1 / SASB FB-AG),0.114,ratio,https://reports.example.org/gri/2025/agr,third_party_audit,manual_entry,0.94,verified
MIN-GRI305-1-2025Q4,2025-12-31T00:00:00Z,Direct (Scope 1) GHG emissions (GRI 305-1 / ESRS E1-6),246265.4,tCO2e,https://reports.example.org/gri/2025/min,self_reported,manual_entry,0.82,verified
MIN-GRI305-2-2025Q4,2025-12-31T00:00:00Z,"Energy indirect (Scope 2) GHG emissions, location-based (GRI 305-2 / IFRS S2)",93665.8,tCO2e,https://reports.example.org/gri/2025/min,self_reported,manual_entry,0.86,verified
MIN-ESRS-S1-6-2025Q4,2025-12-31T00:00:00Z,Own workforce headcount (ESRS S1-6),134013,count,https://filings.example.org/esrs/2025/min,regulatory_filing,ocr_extraction,0.95,pending_review
MIN-GRI401-1-2025Q4,2025-12-31T00:00:00Z,Employee turnover rate (GRI 401-1 / SASB EM-MM),0.187,ratio,https://reports.example.org/gri/2025/min,third_party_audit,manual_entry,0.96,pending_review
MAN-GRI305-1-2025Q4,2025-12-31T00:00:00Z,Direct (Scope 1) GHG emissions (GRI 305-1 / ESRS E1-6),53662.8,tCO2e,https://reports.example.org/gri/2025/man,self_reported,manual_entry,0.93,verified
MAN-GRI305-2-2025Q4,2025-12-31T00:00:00Z,"Energy indirect (Scope 2) GHG emissions, location-based (GRI 305-2 / IFRS S2)",27949,tCO2e,https://reports.example.org/gri/2025/man,self_reported,manual_entry,0.85,verified
MAN-ESRS-S1-6-2025Q4,2025-12-31T00:00:00Z,Own workforce headcount (ESRS S1-6),99696,count,https://filings.example.org/esrs/2025/man,regulatory_filing,ocr_extraction,0.92,verified
MAN-GRI401-1-2025Q4,2025-12-31T00:00:00Z,Employee turnover rate (GRI 401-1 / SASB RT-IG),0.149,ratio,https://reports.example.org/gri/2025/man,third_party_audit,manual_entry,0.85,verified
UTL-GRI305-1-2025Q4,2025-12-31T00:00:00Z,Direct (Scope 1) GHG emissions (GRI 305-1 / ESRS E1-6),100188.9,tCO2e,https://reports.example.org/gri/2025/utl,self_reported,manual_entry,0.9,verified
UTL-GRI305-2-2025Q4,2025-12-31T00:00:00Z,"Energy indirect (Scope 2) GHG emissions, location-based (GRI 305-2 / IFRS S2)",30775.3,tCO2e,https://reports.example.org/gri/2025/utl,self_reported,manual_entry,0.9,pending_review
UTL-ESRS-S1-6-2025Q4,2025-12-31T00:00:00Z,Own workforce headcount (ESRS S1-6),21394,count,https://filings.example.org/esrs/2025/utl,regulatory_filing,ocr_extraction,0.88,pending_review
UTL-GRI401-1-2025Q4,2025-12-31T00:00:00Z,Employee turnover rate (GRI 401-1 / SASB IF-EU),0.196,ratio,https://reports.example.org/gri/2025/utl,third_party_audit,manual_entry,0.96,verified
CON-GRI305-1-2025Q4,2025-12-31T00:00:00Z,Direct (Scope 1) GHG emissions (GRI 305-1 / ESRS E1-6),47268.3,tCO2e,https://reports.example.org/gri/2025/con,self_reported,manual_entry,0.85,verified
CON-GRI305-2-2025Q4,2025-12-31T00:00:00Z,"Energy indirect (Scope 2) GHG emissions, location-based (GRI 305-2 / IFRS S2)",19772,tCO2e,https://reports.example.org/gri/2025/con,self_reported,manual_entry,0.9,verified
